asset,date,close,sma30,sma50,sma60,sma100,sma120,sma200,ratio30,ratio50,ratio60,ratio100,ratio120,ratio200,drawdown
KOSDAQ,2024-08-16,786.33,804.124,823.5022,826.8638,843.6047,849.1574,840.837,97.7872,95.4861,95.0979,93.2107,92.6012,93.5175,-15.3027
KOSDAQ,2024-08-19,777.47,801.79,821.728,825.712,842.3396,848.3854,841.0051,96.9668,94.614,94.1575,92.2989,91.6411,92.4453,-16.257
KOSDAQ,2024-08-20,787.44,799.3957,820.1826,824.8458,841.0771,847.7093,841.1999,98.5044,96.0079,95.4651,93.6228,92.8903,93.6091,-15.1831
KOSDAQ,2024-08-21,779.87,796.7107,818.4128,823.7105,839.7149,846.9799,841.3136,97.8862,95.2905,94.6777,92.8732,92.0766,92.6967,-15.9985
KOSDAQ,2024-08-22,773.47,793.8747,816.4688,822.4182,838.3371,846.3109,841.5005,97.4297,94.7336,94.0483,92.2624,91.3931,91.9156,-16.6879
KOSDAQ,2024-08-23,773.26,791.236,814.5074,821.3317,836.9692,845.5598,841.6706,97.7281,94.9359,94.1471,92.3881,91.4495,91.872,-16.7105
KOSDAQ,2024-08-26,766.79,788.45,812.5994,820.245,835.5821,844.7584,841.6404,97.2528,94.3626,93.483,91.7672,90.7703,91.1066,-17.4074
KOSDAQ,2024-08-27,764.95,785.519,810.7192,818.9945,834.1071,843.8582,841.5549,97.3815,94.3545,93.4011,91.7088,90.6491,90.8972,-17.6056
KOSDAQ,2024-08-28,762.5,782.9487,808.7902,817.6242,832.8162,842.9927,841.1701,97.3882,94.2766,93.258,91.5568,90.4516,90.6475,-17.8695
KOSDAQ,2024-08-29,756.04,780.503,806.6876,816.1275,831.577,842.0374,840.8285,96.8657,93.7215,92.6375,90.9164,89.787,89.9161,-18.5653
KOSDAQ,2024-08-30,767.66,778.6757,804.8906,814.7427,830.4246,841.2398,840.6116,98.5853,95.3744,94.2212,92.4419,91.2534,91.3216,-17.3137
KOSDAQ,2024-09-02,769.21,776.692,803.2214,813.1265,829.3938,840.3734,840.4433,99.0367,95.7656,94.5991,92.7436,91.5319,91.5243,-17.1467
KOSDAQ,2024-09-03,760.37,775.039,801.5984,811.3875,828.3918,839.4104,840.2986,98.1073,94.8567,93.7123,91.7887,90.5838,90.4881,-18.0989
KOSDAQ,2024-09-04,731.75,772.36,799.3936,809.1107,827.116,838.0941,840.0853,94.7421,91.5381,90.4388,88.4701,87.3112,87.1043,-21.1816
KOSDAQ,2024-09-05,725.28,769.3943,797.0568,806.6875,825.7878,836.722,839.7408,94.2664,90.9948,89.9084,87.8289,86.6811,86.3695,-21.8785
KOSDAQ,2024-09-06,706.59,766.371,794.4156,803.9418,824.249,835.2142,839.2269,92.1995,88.9446,87.8907,85.7253,84.5999,84.1954,-23.8916
KOSDAQ,2024-09-09,714.46,763.601,791.896,801.4797,822.8694,833.8309,838.7437,93.5646,90.2214,89.1426,86.8254,85.684,85.1822,-23.0439
KOSDAQ,2024-09-10,706.2,760.208,789.077,798.9337,821.6033,832.2619,838.2794,92.8956,89.497,88.3928,85.9539,84.8531,84.244,-23.9336
KOSDAQ,2024-09-11,709.42,757.0627,786.6672,796.4415,820.3672,830.7412,837.7611,93.7069,90.1804,89.0737,86.4759,85.396,84.6805,-23.013
KOSDAQ,2024-09-12,731.03,754.6587,784.5658,794.2725,819.121,829.4043,837.3312,96.869,93.1764,92.0377,89.2457,88.1392,87.3048,-20.6678
KOSDAQ,2024-09-13,733.2,751.981,782.4136,792.2007,818.0339,827.9786,836.9241,97.5025,93.71,92.5523,89.6295,88.553,87.6065,-20.4323
KOSDAQ,2024-09-19,739.51,750.6537,780.254,790.3147,816.9708,826.608,836.5418,98.5155,94.7781,93.5716,90.5185,89.4632,88.4008,-19.439
KOSDAQ,2024-09-20,748.33,752.5553,778.0352,788.7615,815.9997,825.23,836.2084,99.4385,96.182,94.8741,91.7071,90.6814,89.4909,-18.3126
KOSDAQ,2024-09-23,755.12,753.297,775.9292,787.3137,814.9286,823.8886,835.9328,100.242,97.3182,95.9109,92.6609,91.6532,90.3326,-17.5714
KOSDAQ,2024-09-24,767.35,753.924,774.1052,786.0675,814.0695,822.6894,835.6873,101.7808,99.1274,97.6188,94.261,93.2733,91.8226,-16.2364
KOSDAQ,2024-09-25,759.3,754.3913,772.2428,784.745,813.0943,821.4332,835.3716,100.6507,98.324,96.7575,93.384,92.436,90.8937,-17.1151
KOSDAQ,2024-09-26,779.18,754.883,770.819,783.724,812.1889,820.3805,835.1091,103.2186,101.0847,99.4202,95.9358,94.9779,93.3028,-14.945
KOSDAQ,2024-09-27,774.49,754.942,769.2512,782.513,811.2445,819.2308,834.8454,102.5893,100.681,98.9747,95.4694,94.5387,92.7705,-15.457
KOSDAQ,2024-09-30,763.88,754.9093,767.7366,781.4125,810.2085,818.1666,834.5222,101.1883,99.4977,97.7563,94.2819,93.3649,91.535,-16.6152
KOSDAQ,2024-10-02,762.13,754.4193,766.391,780.1797,809.1739,817.1847,834.2659,101.0221,99.444,97.6865,94.1862,93.2629,91.3534,-16.8062
KOSDAQ,2024-10-04,768.98,753.841,765.321,778.9825,808.1511,816.2353,834.0131,102.0082,100.4781,98.716,95.153,94.2106,92.2024,-16.0585
KOSDAQ,2024-10-07,781.01,753.959,764.3668,777.8745,807.237,815.4747,833.8522,103.5879,102.1774,100.4031,96.751,95.7737,93.6629,-14.7453
KOSDAQ,2024-10-08,778.24,753.6523,763.7324,776.524,806.3179,814.7886,833.5915,103.2625,101.8996,100.221,96.5178,95.5143,93.3599,-15.0477
KOSDAQ,2024-10-10,775.48,753.506,762.9996,775.1083,805.4311,814.0898,833.2927,102.9162,101.6357,100.0479,96.2814,95.2573,93.0621,-15.3489
KOSDAQ,2024-10-11,770.98,753.423,762.1342,773.6488,804.5966,813.3638,832.9499,102.3303,101.1607,99.655,95.8219,94.7891,92.5602,-15.8402
KOSDAQ,2024-10-14,770.26,753.323,761.5936,772.2795,803.6777,812.6121,832.6547,102.2483,101.1379,99.7385,95.8419,94.7882,92.5065,-15.9187
KOSDAQ,2024-10-15,773.81,753.557,761.1186,771.0035,802.7121,811.957,832.3208,102.6877,101.6675,100.364,96.3994,95.3018,92.9702,-15.5312
KOSDAQ,2024-10-16,765.79,753.585,760.2746,769.552,801.8194,811.3985,831.9582,101.6196,100.7254,99.5111,95.5065,94.379,92.0467,-16.4067
KOSDAQ,2024-10-17,765.06,753.6703,759.5002,768.3095,800.9992,810.8321,831.5286,101.5112,100.732,99.5771,95.5132,94.3549,92.0065,-16.4864
