date,individual_net_buy_trn,kospi_return_pct,source,generated_at
2026-04-08,-5.4161,6.8713,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-09,0.295,-1.6063,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-10,-1.228,1.3994,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-13,0.7173,-0.8577,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-14,-2.3919,2.7395,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-15,-0.94,2.0718,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-16,-1.805,2.2107,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-17,1.4464,-0.5482,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-20,-0.3158,0.4388,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-21,-1.9204,2.7236,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-22,1.1984,0.4611,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-23,0.4514,0.9018,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-24,1.1832,-0.0028,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-27,-1.9758,2.1527,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-28,-0.1306,0.3929,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-29,0.1681,0.7511,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-04-30,1.1824,-1.3754,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-04,-4.7936,5.1239,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-06,-0.5715,6.4519,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-07,5.9925,1.4285,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-08,3.9707,0.1061,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-11,2.8669,4.3244,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-12,6.6818,-2.2895,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-13,1.8868,2.628,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-14,1.8499,1.7517,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-15,7.2308,-6.1171,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-18,2.2094,0.3051,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-19,5.6289,-3.2514,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-20,1.7104,-0.8624,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-21,-2.6754,8.4151,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-22,1.0655,0.411,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-26,-0.5745,2.546,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-27,0.4064,2.2515,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-28,3.6146,-0.5275,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-05-29,-1.4054,3.5535,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-01,0.3862,3.6836,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-02,6.3537,0.1492,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-04,5.0135,-1.8415,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-05,4.224,-5.5423,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-08,1.7628,-8.2859,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-09,-0.6167,8.1839,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-10,4.8643,-4.5216,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-11,2.0803,0.4285,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-12,-4.3174,4.6326,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-15,-1.5124,5.1992,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-16,-2.1841,2.1135,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-17,0.5254,1.5773,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-18,-0.4156,2.2517,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-19,1.6478,-0.126,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-22,2.1506,0.6863,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-23,8.591,-9.9918,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-24,2.6312,3.2568,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-25,-2.4136,5.4218,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-26,8.1919,-5.8127,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-29,4.5975,-0.1969,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-06-30,0.8401,0.9748,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-07-01,1.737,-2.0418,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-07-02,6.2413,-7.8922,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-07-03,-2.2942,5.7563,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-07-06,2.6829,-0.4576,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-07-07,3.1359,-4.9063,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-07-08,-0.0358,-5.3488,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-07-09,-1.3278,0.6226,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-07-10,-0.7805,2.5238,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-07-13,3.8869,-8.9488,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-07-14,-4.1411,0.7331,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-07-15,-2.4666,6.2358,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-07-16,3.6647,-6.3672,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
2026-07-20,0.3491,-4.4619,Naver Finance 개인 순매수(억원→조원),2026-07-20T15:58:44+09:00
